order_id,restaurant_id,customer_id,carrier_id,customer_lat,customer_lon,date,time,is_peak_time,is_weekend,carrier_vehicle,shopping_cart,coupon_discount,order_price,shortest_distance_to_customer,travel_time_minutes,restaurant_rating,delivery_charges
ORD056142,REST2155,CUST01589,COUR4804,-37.8224366,144.9927925,2020-05-02,03:29:40,0,0,Motorbike,"[('biryani', 3), ('palak paneer', 3), ('kulfi', 1), ('cheese naan', 1)]",10,79.911,2123,4,9.54,3.8424
ORD252312,REST2185,CUST08448,COUR1944,-37.8031011,144.9633841,2020-03-27,22:40:52,0,0,Motorbike,"[('rajma', 1), ('biryani', 3), ('shahi paneer', 3), ('protein chapati', 1)]",0,109.75,2967,6,8.18,3.6061
ORD341034,REST2185,CUST05976,COUR3565,-37.8214424,144.9665591,2020-12-06,09:21:45,0,1,Motorbike,"[('protein chapati', 1), ('shahi paneer', 1), ('biryani', 1), ('rajma', 3)]",45,43.72,1112,2,6.54,4.0609
ORD077971,REST1137,CUST01709,COUR4317,-37.82460379999999,145.00054219999998,2020-03-16,01:58:40,0,0,Car,"[('chicken kebab', 1), ('pizza', 3), ('momos', 3), ('gulab jamun', 1)]",0,80.28,3686,9,7.68,3.5915
ORD177038,REST1946,CUST07938,COUR2243,-37.813178,144.97386880000002,2020-06-29,07:11:12,0,0,Car,"[('paneer malai tikka', 2), ('yakhni pulao', 2)]",0,88.62,3865,9,3.97,4.5343
ORD324230,REST2185,CUST05669,COUR1582,-37.8125054,144.9375284,2020-04-30,10:36:55,0,0,Motorbike,"[('sweet lassi', 1), ('protein chapati', 3)]",0,30.0,2805,6,8.18,3.3522
ORD312456,REST2155,CUST05876,COUR2381,144.96228119999998,-37.821178,2020-05-17,21:05:56,0,1,Car,"[('palak paneer', 3), ('kulfi', 2), ('biryani', 2)]",40,38.58,4502,11,7.63,4.3423
ORD332596,REST1137,CUST08166,COUR1890,-37.8183031,145.0077128,2020-08-23,21:33:37,0,1,Car,"[('pizza', 2), ('chicken kebab', 3), ('mocktails', 1)]",0,53.2,3929,9,7.68,4.5078
ORD345522,REST2185,CUST13048,COUR4475,-37.812037200000006,144.953404,2020-12-08,19:30:59,1,0,Bike,"[('jeera rice', 1), ('shahi paneer', 1), ('protein chapati', 2), ('sweet lassi', 1)]",10,37.773,1503,8,6.54,5.0677
ORD184328,REST1137,CUST11690,COUR2473,-37.8175604,144.93222609999998,2020-04-01,13:42:51,1,0,Bike,"[('mocktails', 3), ('pizza', 2), ('crispy corn', 1)]",0,50.29,4376,22,7.68,6.2324
